cs	popsize	wij	s	f	inithom	inithet	p	naa	ntrial	q	err
34	1000	(1.000000,1.000000,1.000000)	0.000000	0.100000	0	1	0.000500	388	79800000	4.862155e-06	4.838024e-07
55	1000	(1.000000,1.000000,1.000000)	0.000000	0.100000	0	1	0.000500	391	16190000	2.415071e-05	2.393825e-06
89	1000	(1.000000,1.000000,1.000000)	0.000000	0.100000	0	1	0.000500	412	3600000	1.144444e-04	1.105038e-05
144	1000	(1.000000,1.000000,1.000000)	0.000000	0.100000	0	1	0.000500	433	2790000	1.551971e-04	1.461713e-05
233	1000	(1.000000,1.000000,1.000000)	0.000000	0.100000	0	1	0.000500	439	1750000	2.508571e-04	2.346366e-05
377	1000	(1.000000,1.000000,1.000000)	0.000000	0.100000	0	1	0.000500	472	1450000	3.255172e-04	2.936219e-05
610	1000	(1.000000,1.000000,1.000000)	0.000000	0.100000	0	1	0.000500	510	1040000	4.903846e-04	4.255017e-05
987	1000	(1.000000,1.000000,1.000000)	0.000000	0.100000	0	1	0.000500	487	1130000	4.309735e-04	3.826912e-05
1	1000	(1.000000,1.000000,1.000000)	0.000000	0.100000	1	2	0.002000	873	430000	2.030233e-03	1.345406e-04
2	1000	(1.000000,1.000000,1.000000)	0.000000	0.100000	1	2	0.002000	0	100230000	0.000000e+00	0.000000e+00
3	1000	(1.000000,1.000000,1.000000)	0.000000	0.100000	1	2	0.002000	0	100230000	0.000000e+00	0.000000e+00
5	1000	(1.000000,1.000000,1.000000)	0.000000	0.100000	1	2	0.002000	0	100230000	0.000000e+00	0.000000e+00
8	1000	(1.000000,1.000000,1.000000)	0.000000	0.100000	1	2	0.002000	0	100230000	0.000000e+00	0.000000e+00
13	1000	(1.000000,1.000000,1.000000)	0.000000	0.100000	1	2	0.002000	4	100230000	3.990821e-08	3.911005e-08
21	1000	(1.000000,1.000000,1.000000)	0.000000	0.100000	1	2	0.002000	158	100230000	1.576374e-06	2.458026e-07
34	1000	(1.000000,1.000000,1.000000)	0.000000	0.100000	1	2	0.002000	389	16320000	2.383578e-05	2.368675e-06
55	1000	(1.000000,1.000000,1.000000)	0.000000	0.100000	1	2	0.002000	410	3080000	1.331169e-04	1.288452e-05
89	1000	(1.000000,1.000000,1.000000)	0.000000	0.100000	1	2	0.002000	484	1180000	4.101695e-04	3.653488e-05
144	1000	(1.000000,1.000000,1.000000)	0.000000	0.100000	1	2	0.002000	575	660000	8.712121e-04	7.117981e-05
233	1000	(1.000000,1.000000,1.000000)	0.000000	0.100000	1	2	0.002000	621	530000	1.171698e-03	9.210250e-05
377	1000	(1.000000,1.000000,1.000000)	0.000000	0.100000	1	2	0.002000	738	480000	1.537500e-03	1.108432e-04
610	1000	(1.000000,1.000000,1.000000)	0.000000	0.100000	1	2	0.002000	780	450000	1.733333e-03	1.215386e-04
987	1000	(1.000000,1.000000,1.000000)	0.000000	0.100000	1	2	0.002000	837	460000	1.819565e-03	1.231588e-04
1	1000	(1.000000,1.000000,1.000000)	0.000000	0.500000	0	1	0.000500	498	1080000	4.611111e-04	4.048991e-05
2	1000	(1.000000,1.000000,1.000000)	0.000000	0.500000	0	1	0.000500	0	100230000	0.000000e+00	0.000000e+00
3	1000	(1.000000,1.000000,1.000000)	0.000000	0.500000	0	1	0.000500	0	100230000	0.000000e+00	0.000000e+00
5	1000	(1.000000,1.000000,1.000000)	0.000000	0.500000	0	1	0.000500	0	100230000	0.000000e+00	0.000000e+00
8	1000	(1.000000,1.000000,1.000000)	0.000000	0.500000	0	1	0.000500	0	100230000	0.000000e+00	0.000000e+00
13	1000	(1.000000,1.000000,1.000000)	0.000000	0.500000	0	1	0.000500	0	100230000	0.000000e+00	0.000000e+00
21	1000	(1.000000,1.000000,1.000000)	0.000000	0.500000	0	1	0.000500	0	100230000	0.000000e+00	0.000000e+00
34	1000	(1.000000,1.000000,1.000000)	0.000000	0.500000	0	1	0.000500	0	100230000	0.000000e+00	0.000000e+00
55	1000	(1.000000,1.000000,1.000000)	0.000000	0.500000	0	1	0.000500	0	100230000	0.000000e+00	0.000000e+00
89	1000	(1.000000,1.000000,1.000000)	0.000000	0.500000	0	1	0.000500	0	100230000	0.000000e+00	0.000000e+00
144	1000	(1.000000,1.000000,1.000000)	0.000000	0.500000	0	1	0.000500	154	100230000	1.536466e-06	2.426713e-07
233	1000	(1.000000,1.000000,1.000000)	0.000000	0.500000	0	1	0.000500	399	26240000	1.520579e-05	1.492023e-06
377	1000	(1.000000,1.000000,1.000000)	0.000000	0.500000	0	1	0.000500	399	6040000	6.605960e-05	6.481734e-06
610	1000	(1.000000,1.000000,1.000000)	0.000000	0.500000	0	1	0.000500	418	2570000	1.626459e-04	1.559106e-05
987	1000	(1.000000,1.000000,1.000000)	0.000000	0.500000	0	1	0.000500	462	1430000	3.230769e-04	2.945580e-05
1	1000	(1.000000,1.000000,1.000000)	0.000000	0.500000	1	2	0.002000	865	420000	2.059524e-03	1.371094e-04
2	1000	(1.000000,1.000000,1.000000)	0.000000	0.500000	1	2	0.002000	0	100230000	0.000000e+00	0.000000e+00
3	1000	(1.000000,1.000000,1.000000)	0.000000	0.500000	1	2	0.002000	0	100230000	0.000000e+00	0.000000e+00
